product_name,price,rating,rating_count,Key specifications  Robot type,Key specifications  Robot vacuum cleaner height i,Key specifications  Suction station height i,Key specifications  Battery life,Key specifications  Max. noise level,Key specifications  Robot vacuum cleaner features,Key specifications  Smart home ecosystem,Key specifications  Item number,General information  Manufacturer,General information  Category,General information  Manufacturer no.,General information  Release date,General information  Sales rank in Category Robot vacuum cleaners,General information  May include power adapter,Colour  Colour,Colour  Exact colour description,Robot vacuum cleaner properties  Robot type,Robot vacuum cleaner properties  Cleaning functions,Robot vacuum cleaner properties  Robot vacuum cleaner features,Robot vacuum cleaner properties  Max. Suction power i,Robot vacuum cleaner properties  Filter + Dust bag volume,Robot vacuum cleaner properties  Water tank capacity,Robot vacuum cleaner properties  Max. noise level,Robot vacuum cleaner properties  Suitable surfaces,Robot vacuum cleaner properties  Max. Height door sill,Robot vacuum cleaner properties  Filter type,Robot vacuum cleaner properties  Room area i,Smart home features  Smart Home,Smart home features  Smart home ecosystem,Smart home features  Communication standard,Origin  Country of origin i,Model  Model name,Model  Model number,Battery properties  Battery life,Battery properties  Charging time,Battery properties  Battery type,Battery properties  Capacity,Battery properties  Power capacity,Battery properties  Voltage,Power supplyi  Power consumption,Scope of delivery  Scope of delivery,Product dimensions  Robot vacuum cleaner height i,Product dimensions  Suction station height i,Product dimensions  Diameter,Product dimensions  Length,Product dimensions  Width,Product dimensions  Weight,Package dimensions  Length,Package dimensions  Width,Package dimensions  Height,Package dimensions  Weight,Key specifications  Documents,General information  External links,Ingredients and instructions for use  Ingredients,Sustainability  Manufacturer commitment i,Ingredients and instructions for use  Instructions for use,Key specifications  Device type,Key specifications  Power,Key specifications  Length,Key specifications  Width,Key specifications  Height,Key specifications  Colour,General information  Sales rank in Category Fun kitchen gadgets,Fun Kitchen features  Device type,Power supplyi  Power,Product dimensions  Height
Xiaomi Robot Vacuum S20+,25195,5.0,3,Vacuum mopping robot,9.80 cm,9.70 cm,170 min,65 dB,Obstacle detector,"Amazon Alexa, Google Assistant, Google Home",47885366,Xiaomi,Robot vacuum cleaners,6941812771334,19.8.2024,65 of 471,No,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming",Obstacle detector,6000 Pa,0.45 l,0.29 l,65 dB,,,HEPA filter,,Compatible,"Amazon Alexa, Google Assistant, Google Home",Miele@home,China,,BHR8158EU,170 min,210 min,,5200 mAh,55 Wh,14.40 V,55 W,"1 x power supply, 1x charging station, 1x dust container, 1x main brush, 1x main brush cover, 1x robot hoover, 1x side brush, 1x user manual, 1x water tank, 2x wiping pad",9.80 cm,9.70 cm,35 cm,35 cm,35 cm,3.80 kg,50.10 cm,44.20 cm,15.30 cm,6.74 kg,,,,,,,,,,,,,,,
Roborock Q Revo,756,4.6,116,Vacuum mopping robot,9.65 cm,56.10 cm,180 min,62 dB,Programmable room boundary,"Amazon Alexa, Google Assistant",37172850,Roborock,Robot vacuum cleaners,R100036,20.7.2023,115 of 471,Yes,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming",Programmable room boundary,5500 Pa,2.70 l,0.08 l,62 dB,Hard floor,,,400 m²,Compatible,"Amazon Alexa, Google Assistant",Amazon Alexa,China,Q Revo,R100036,180 min,240 min,Li-ion,5200 mAh,,20 V,60 W,"Dust filters, Power cord, Robot vacuum, Short manual, Suction station, Wipes",9.65 cm,56.10 cm,35 cm,35 cm,35 cm,3.80 kg,63 cm,42.50 cm,44.50 cm,16.22 kg,,,,,,,,,,,,,,,
Dreame L40 Ultra,869,4.7,54,Vacuum mopping robot,10.38 cm,59.05 cm,194 min,74 dB,"Area cleaning, Automatic detergent addition, Automatic mop pad separation, Automatic power adjustment, Automatic water refill, Base station, Camera function, Carpet detection, Configurable cleaning programmes, Extendable wiping pads, Obstacle detector, Programmable room boundary, Removable water tank, Self-cleaning mop pads","Amazon Alexa, Apple Siri, Google Assistant",48991591,Dreame,Robot vacuum cleaners,RLX53SE,6.9.2024,19 of 471,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Area cleaning, Automatic detergent addition, Automatic mop pad separation, Automatic power adjustment, Automatic water refill, Base station, Camera function, Carpet detection, Configurable cleaning programmes, Extendable wiping pads, Obstacle detector, Programmable room boundary, Removable water tank, Self-cleaning mop pads",11000 Pa,0.30 l,0.08 l,74 dB,"Carpet, Hard floor",22 mm,,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant",,,,,194 min,210 min,Li-ion,5200 mAh,,14.40 V,600 W,"200mL Cleaning Solution, 3.2L Dust Bag (pre-installed ) x2, Base Station, Base Stattion Ramp Extension, Brush Guard, Cleaning tool, Dust Box, Main brush, Mop pad holder x 2, Mop pads, Quick Start Guide, Robot Vacuum, Side Brush (pre-installed ) x 2, TriCut Brush, User Manual",10.38 cm,59.05 cm,,34 cm,45.67 cm,14 kg,65 cm,45 cm,45 cm,18.12 kg,,,,,,,,,,,,,,,
Ecovacs Deebot T30S Pro,869,5.0,2,Vacuum mopping robot,10.40 cm,49.50 cm,180 min,78 dB,Base station,,47035112,Ecovacs,Robot vacuum cleaners,T30S Pro black,4.7.2024,79 of 471,Yes,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming",Base station,11000 Pa,0.28 l,0.55 l,78 dB,Carpet,20 mm,,,Compatible,,,China,,Deebot T30S Pro,180 min,306 min,Li-ion,6400 mAh,60 Wh,,60 W,"Charging station, Manual, Robot vacuum, Side brushes, Wiping plate",10.40 cm,49.50 cm,,35.10 cm,35.30 cm,4.10 kg,76.50 cm,39.50 cm,49.50 cm,18.54 kg,,,,,,,,,,,,,,,
iRobot Roomba 105 Combo,249,,2,Vacuum mopping robot,10.40 cm,,120 min,,,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Matter",56447537,iRobot,Robot vacuum cleaners,Y311240,18.3.2025,209 of 471,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",,7000 Pa,0.40 l,0.20 l,,"Carpet, Laminate, Parquet flooring, Stone, Tiles",15 mm,Particle filter,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Matter",Google Assistant,,,Y311240,120 min,,LiFePO4,3000 mAh,,,,"1 charging station, 1 cleaning tool, 1 mains cable, 1 Roomba® 105 Combo robot",10.40 cm,,33.60 cm,33.60 cm,33.50 cm,2.84 kg,36 cm,44.50 cm,17 cm,4.86 kg,,,,,,,,,,,,,,,
Ecovacs Deebot X8 Omni,1129,,2,Vacuum mopping robot,9.80 cm,47.70 cm,128 min,65 dB,"Extendable side brushes, Infrared sensor","Amazon Alexa, Google Assistant",54530477,Ecovacs,Robot vacuum cleaners,DDX15-23EC,7.2.2025,74 of 471,Yes,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming","Extendable side brushes, Infrared sensor",18000 Pa,0.22 l,0.11 l,65 dB,"Carpet, Hard floor, Laminate, Linoleum, Parquet flooring, Tiles",20 mm,,120 m²,Compatible,"Amazon Alexa, Google Assistant",,,,DEEBOT X8 OMNI,128 min,250 min,Li-ion,5200 mAh,,,80 W,"1 DEEBOT X8 OMNI, 1 main brush, 1 Mop-Walz..., 1 OMNI station",9.80 cm,47.70 cm,35.30 cm,35.30 cm,35.10 cm,5.30 kg,61 cm,41 cm,39 cm,18 kg,,,,,,,,,,,,,,,
Ecovacs Deebot T10,233,4.5,10,Vacuum mopping robot,10.33 cm,,260 min,68 dB,"Camera function, Obstacle detector, Programmable room boundary","Amazon Alexa, Google Assistant",21870495,Ecovacs,Robot vacuum cleaners,T10,17.1.2023,62 of 471,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Camera function, Obstacle detector, Programmable room boundary",3000 Pa,0.40 l,0.24 l,68 dB,Universal,20 mm,HEPA filter,180 m²,Compatible,"Amazon Alexa, Google Assistant","Amazon Alexa, Google Assistant",,,DBX33,260 min,390 min,Li,5200 mAh,45 Wh,45 V,50 W,"Charging station, Cleaning tool, Disposable wipes, Side brushes, Wipes",10.33 cm,,35.30 cm,35.30 cm,35.30 cm,4.80 kg,50 cm,43.30 cm,17.70 cm,7.96 kg,,,,,,,,,,,,,,,
iRobot Roomba Plus 505 Combo + AutoWash Dock,699,,10,Robot vacuum,10.60 cm,,,,,"Amazon Alexa, Apple Siri, Google Assistant, Matter",56447532,iRobot,Robot vacuum cleaners,N185240,19.3.2025,130 of 471,,White,White,Robot vacuum,Vacuuming,,7000 Pa,0.30 l,3 l,,"Carpet, Laminate, Parquet flooring, Stone, Tiles",20 mm,Particle filter,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, Matter",Google Assistant,,,N185240,,,LiFePO4,5000 mAh,,,,"1 additional dust bag, 1 additional set of rotating wiping pads, 1 AutoWash™ dock, 1 mains cable, 1 Roomba® Plus 505 Combo robot",10.60 cm,,35.70 cm,35.70 cm,35.10 cm,4.40 kg,,,,,,,,,,,,,,,,,,,
Xiaomi Robot Vacuum E12,169,4.1,30,Vacuum mopping robot,8 cm,,110 min,,Base station,"Amazon Alexa, Google Assistant",35798964,Xiaomi,Robot vacuum cleaners,47505,22.5.2023,75 of 471,No,White,"Black, White",Vacuum mopping robot,"Damp mopping, Vacuuming",Base station,4000 Pa,0.40 l,0.20 l,,"Carpet, Laminate, Parquet flooring, Tiles",15 mm,HEPA filter,,Compatible,"Amazon Alexa, Google Assistant",,China,,BHR7331EU,110 min,210 min,Li-ion,2600 mAh,35 Wh,14.40 V,35 W,"Charging station, Cleaning brush, Filter x 2, Main brush, Main brush guard, Manual, Mop pad, Power supply, Robots, Side brush, Water and dust container",8 cm,,32.50 cm,13 cm,32.50 cm,4.50 kg,46.60 cm,38.60 cm,12.50 cm,4.65 kg,,,,,,,,,,,,,,,
Xiaomi Robot Vacuum X10+,521,4.3,66,Vacuum mopping robot,9.70 cm,9.70 cm,120 min,75 dB,"Base station, Camera function","Amazon Alexa, Google Home",22643285,Xiaomi,Robot vacuum cleaners,BHR6363EU,16.10.2022,94 of 471,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Camera function",4000 Pa,0.35 l,2 l,75 dB,"Carpet, Hard floor",20 mm,HEPA filter,2.50 m²,Compatible,"Amazon Alexa, Google Home",,China,,BHR6363EU,120 min,360 min,Li-ion,4800 mAh,14400 Wh,14.40 V,70 W,"1 robot hoover, Dirt container for vacuuming, Filter, virtual wall",9.70 cm,9.70 cm,35 cm,35 cm,35 cm,3.80 kg,62.20 cm,38.50 cm,48.20 cm,17.70 kg,,,,,,,,,,,,,,,
Makita DRC300Z,1567,1.0,1,Robot vacuum,20.40 cm,20.40 cm,240 min,62 dB,,,25249229,Makita,Robot vacuum cleaners,DRC300Z,21.10.2022,163 of 471,,White,White,Robot vacuum,Vacuuming,,,2 l,,62 dB,,,,600 m²,Not compatible,,,Germany,,DRC300Z,240 min,,Li-ion,,,18 V,,"without battery, without charger",20.40 cm,20.40 cm,50 cm,50 cm,50 cm,9.60 kg,54 cm,53 cm,36 cm,15 kg,,,,,,,,,,,,,,,
Samsung Jet Bot Combo Steam+ (VR9600),949,5.0,3,Vacuum mopping robot,10 cm,54.70 cm,180 min,74 dB,"Area cleaning, Camera function, Removable water tank","Amazon Alexa, Google Assistant, Samsung Bixby",47037158,Samsung,Robot vacuum cleaners,VR7MD96514G/SW,12.8.2024,195 of 471,No,"Black, White","Black, Offwhite",Vacuum mopping robot,"Damp mopping, Vacuuming","Area cleaning, Camera function, Removable water tank",6000 Pa,0.25 l,0.10 l,74 dB,"Fabric, Laminate",,Fine particulate air filters,,Compatible,"Amazon Alexa, Google Assistant, Samsung Bixby","Amazon Alexa, Google Assistant",,Jet Bot+,VR9600,180 min,300 min,Li-ion,,70 Wh,14.40 V,5 W,"1 x Robot Vacuum Cleaner Samsung Jet Bot Combo Steam+ (VR9600), Clean Station Steam+, dust bag, Mop pads, Mop Pads Holders, Pre-motor filter, Side Brush×1, Washing Plates",10 cm,54.70 cm,35.90 cm,36.40 cm,35.90 cm,23 kg,47 cm,62.50 cm,51 cm,23.15 kg,,,,RE100,,,,,,,,,,,
Ecovacs Robot vacuum cleaner N30 Pro omni Deebot,463,,3,Vacuum mopping robot,10.40 cm,54 cm,320 min,65 dB,Self-cleaning mop pads,Google Assistant,53497891,Ecovacs,Robot vacuum cleaners,6970135034253,11.12.2024,83 of 471,Yes,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming",Self-cleaning mop pads,10000 Pa,0.35 l,3.50 l,65 dB,"Carpet, Hard floor, Linoleum, Parquet flooring, Tiles",20 mm,Dust filters,,Compatible,Google Assistant,,Germany,,DEEBOT N30 Pro omni,320 min,330 min,,5200 mAh,60 Wh,,60 W,"2x round mop covers, Charging station and cleaning station, Filter, Main brush, Power cable, Robots, Side brush, Vacuum cleaner bag, Wiper head x 2",10.40 cm,54 cm,,35.30 cm,35.30 cm,3.70 kg,59.50 cm,38 cm,40.50 cm,15.36 kg,,,,,,,,,,,,,,,
iRobot Roomba i5+,449,4.6,16,Robot vacuum,9.20 cm,31 cm,90 min,70 dB,"Base station, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App",22503262,iRobot,Robot vacuum cleaners,i565840,18.10.2022,157 of 471,Yes,"Black, Grey","Black, Neutral grey",Robot vacuum,Vacuuming,"Base station, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe",,1.70 l,0.40 l,70 dB,"Carpet, Hard floor, Laminate, Parquet flooring, Stone, Tiles, Tiles",16 mm,High-performance filters,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App","Amazon Alexa, Apple HomeKit, Google Assistant",,Roomba i5+,Roomba i5,90 min,90 min,Li-ion,1850 mAh,,,,"1 corner and edge cleaning brush, 2 anti-allergen dust bags, Clean Base charging station + automatic emptying, Power cord, Replacement filter",9.20 cm,31 cm,34.20 cm,34.20 cm,34.20 cm,3.18 kg,43 cm,41.50 cm,52.50 cm,10.61 kg,,,,,,,,,,,,,,,
Narwhal Freo X Ultra,713,,16,Vacuum mopping robot,10.60 cm,,180 min,58 dB,Base station,Apple Siri,42769856,,Robot vacuum cleaners,CP-ZD-A00021-00-00,7.2.2024,179 of 471,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",Base station,,,,58 dB,,,,,Compatible,Apple Siri,,,,CP-ZD-A00021-00-00,180 min,,,,,,,,10.60 cm,,,,,,99 cm,42 cm,47 cm,17.74 kg,,,,,,,,,,,,,,,
Roborock S6,36720,4.8,660,Vacuum mopping robot,9.65 cm,,150 min,67 dB,"Obstacle detector, Programmable room boundary, Staircase safe","Amazon Alexa, Google Assistant",10731132,Roborock,Robot vacuum cleaners,S6 White,1.6.2019,105 of 471,,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Obstacle detector, Programmable room boundary, Staircase safe",,0.48 l,0.48 l,67 dB,"Carpet, Laminate, Parquet flooring, Stone, Tiles",20 mm,HEPA filter,250 m²,Compatible,"Amazon Alexa, Google Assistant",,,,,150 min,300 min,Li-ion,5200 mAh,58 Wh,14.40 V,58 W,"2 cloths for the tank, 2 replacement valves with water filters, Charging station, Manual, Plastic robot stand, Power cord, Replacement dust filter, Wiping container",9.65 cm,,35 cm,35.30 cm,35 cm,3.50 kg,55 cm,29 cm,22.50 cm,7.30 kg,,,,,,,,,,,,,,,
"Xiaomi Mi Robot Vacuum S10, black",17904,4.8,12,Vacuum mopping robot,9.45 cm,,120 min,65 dB,Obstacle detector,Amazon Alexa,25478823,Xiaomi,Robot vacuum cleaners,6934177781926,5.5.2023,95 of 471,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",Obstacle detector,4000 Pa,0.30 l,0.17 l,65 dB,Linoleum,20 mm,,,Compatible,Amazon Alexa,,China,,S10 EU,120 min,360 min,Li-ion,3200 mAh,45 Wh,14.80 V,45 W,"2-IN-1, Charging station, Main brush, Main brush (pre-installed), Main unit, Mop frame x 1, Mop pad, Power supply, Robot hoover, Side brush",9.45 cm,,35 cm,35 cm,35 cm,4.80 kg,53 cm,42 cm,13.50 cm,6.21 kg,,,,,,,,,,,,,,,
Shark AI Ultra 2-in-1 Robot Vacuum Cleaner,26588,2.3,8,Robot vacuum,14.50 cm,14.50 cm,110 min,,,"Amazon Alexa, Google Assistant",23852028,Shark,Robot vacuum cleaners,RV2600WSEU,18.1.2023,161 of 471,Yes,Black,Black,Robot vacuum,Damp mopping,,,0.90 l,0.90 l,,"Carpet, Hard floor",,,,Compatible,"Amazon Alexa, Google Assistant",Google Assistant,Canada,,RV2600WSEU,110 min,360 min,Li-ion,,20 Wh,,20 W,"2 x side brush, 2 x wiping pads, Automatic suction station, Filter, Head unit, Manual",14.50 cm,14.50 cm,34 cm,34 cm,34 cm,7.58 kg,49.10 cm,39 cm,27.50 cm,10.11 kg,,,,,,,,,,,,,,,
Roborock S5 Max,369,4.8,1509,Robot vacuum,9.60 cm,10 cm,150 min,69 dB,"Laser navigation, Obstacle detector, Programmable room boundary, Staircase safe","Amazon Alexa, Google Assistant",12755090,Roborock,Robot vacuum cleaners,R100007,19.2.2020,87 of 471,,Black,Black,Robot vacuum,"Damp mopping, Vacuuming","Laser navigation, Obstacle detector, Programmable room boundary, Staircase safe",2000 Pa,0.46 l,0.29 l,69 dB,"Carpet, Laminate, Parquet flooring, Stone, Tiles",20 mm,HEPA filter,200 m²,Compatible,"Amazon Alexa, Google Assistant",Google Assistant,,,6970995781939,150 min,300 min,Li-ion,5200 mAh,,,58 W,"Attaching the wipe, Loading Lock, Moisture resistant mat, Power cable, Wiping cloth",9.60 cm,10 cm,35.30 cm,35.30 cm,35.30 cm,3.50 kg,16 cm,41 cm,49 cm,6.10 kg,,,,,,,,,,,,,,,
Severin Rb 7025,8590,3.9,155,Robot vacuum,7 cm,,90 min,65 dB,"Obstacle detector, Staircase safe",,5814425,Severin,Robot vacuum cleaners,RB 7025,15.2.2016,67 of 471,No,Grey,"Black, Garnet Red, Platinum Gray",Robot vacuum,Vacuuming,"Obstacle detector, Staircase safe",,0.35 l,0.35 l,65 dB,"Carpet, Laminate, Parquet flooring, Tiles",,Preliminary filter,100 m²,Not compatible,,,,,RB 7025,90 min,390 min,Li-ion,1300 mAh,16.64 Wh,12.80 V,11.40 W,"1 replacement filter, 1 x Cleaning brush, Additional brush, Charging station, Round brush",7 cm,,36.60 cm,31 cm,31 cm,1.50 kg,31.50 cm,11 cm,37 cm,2.36 kg,,,,,,,,,,,,,,,
iRobot Roomba Combo j5,346,4.0,1,Vacuum mopping robot,8.70 cm,,75 min,,"Carpet detection, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App",39208275,iRobot,Robot vacuum cleaners,J517840,19.12.2023,,No,"Black, Grey","Black, Silver",Vacuum mopping robot,"Damp mopping, Vacuuming","Carpet detection, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe",,0.39 l,0.21 l,,"Carpet, Laminate, Parquet flooring, Stone, Tiles",16 mm,High-performance filters,56 m²,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App","Amazon Alexa, Apple Siri, Google Assistant",,Roomba Combo j5,Roomba Combo j5,75 min,120 min,Li-ion,2210 mAh,,,,"1x additional corner and edge brush, 1x drip tray, 1x dust collector, 1x Home Base charging station, 1x power cable, 1x replacement filter, 1x Roomba Combo container, 1x Roomba Combo j5, 1x wiping pad",8.70 cm,,33.90 cm,33.80 cm,33.90 cm,3.40 kg,43 cm,16 cm,55 cm,6.53 kg,,,Https://prod-help-content.care.irobotapi.com/files/guide/OGComboj5.pdf.,,,,,,,,,,,,
Dreame D9 Max,232,4.6,45,Vacuum mopping robot,9.70 cm,,150 min,65 dB,Laser navigation,Google Assistant,17542503,Dreame,Robot vacuum cleaners,D9 Max,4.12.2023,107 of 471,No,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming",Laser navigation,4000 Pa,0.57 l,0.27 l,65 dB,"Carpet, Laminate, Parquet flooring, Tiles",20 mm,Dust filters,250 m²,Compatible,Google Assistant,Amazon Alexa,,,BOTD9MAX,150 min,180 min,,5200 mAh,,14.40 V,40 W,"Cleaning brush, Manual, Moppa, Robots",9.70 cm,,35 cm,35 cm,35 cm,3.70 kg,38.70 cm,14.50 cm,44 cm,5.54 kg,,,,,,,,,,,,,,,
Ecovacs T20 Omni,599,4.1,52,Vacuum mopping robot,10.30 cm,57.80 cm,260 min,69 dB,"Base station, Laser navigation, Obstacle detector, Programmable room boundary","Amazon Alexa, Google Assistant",36357032,Ecovacs,Robot vacuum cleaners,DEEBOT T20 OMNI,4.3.2024,70 of 471,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Laser navigation, Obstacle detector, Programmable room boundary",6000 Pa,0.30 l,4 l,69 dB,"Carpet, Hard floor, Laminate, Parquet flooring, Tiles",20 mm,Fine particulate air filters,100 m²,Compatible,"Amazon Alexa, Google Assistant",Amazon Alexa,,,T20 Omni,260 min,400 min,Li-ion,5200 mAh,45 Wh,14.80 V,45 W,"Anthers, Charging cable, Cleaning brush, Cleaning utensils, Filter, Mop, OMNI Station, Side brush, User manual, Wiping plate",10.30 cm,57.80 cm,36.20 cm,44.80 cm,43 cm,4.40 kg,54 cm,49 cm,64.50 cm,24.97 kg,,,,,,,,,,,,,,,
Aeco Vacubot X3,10180,,52,Robot vacuum,7.70 cm,,190 min,68 dB,,Amazon Alexa,52647709,Aeco,Robot vacuum cleaners,A900004,5.11.2024,81 of 471,,Black,Black,Robot vacuum,Vacuuming,,5000 Pa,,,68 dB,,,,120 m²,Compatible,Amazon Alexa,,China,,x3,190 min,300 min,Lithium,3200 mAh,,,35 W,"Aeco VacuBot X3, Charging station, IR remote control, User manual",7.70 cm,,33 cm,,,2.50 kg,41 cm,35 cm,10 cm,3.56 kg,,,,,,,,,,,,,,,
Samsung Jet Bot Combo AI Steam+ (VR9700),144005,4.4,7,Vacuum mopping robot,10 cm,54.70 cm,180 min,74 dB,"Area cleaning, Camera function, Removable water tank","Amazon Alexa, Google Assistant, Samsung Bixby",47037159,Samsung,Robot vacuum cleaners,VR7MD97714G/SW,12.8.2024,196 of 471,No,Black,"Black, Offwhite",Vacuum mopping robot,Vacuuming,"Area cleaning, Camera function, Removable water tank",6000 Pa,0.25 l,0.10 l,74 dB,"Fabric, Laminate",,Fine particulate air filters,,Compatible,"Amazon Alexa, Google Assistant, Samsung Bixby",Samsung Smart Things,Germany,,VR9700,180 min,300 min,Li-ion,,,14.40 V,5 W,"1 x Robot Vacuum Cleaner Samsung Jet Bot Combo AI Steam+ (VR9700), Clean Station Steam+, dust bag, Mop pads, Mop Pads Holders, Pre-motor filter, Side Brush×1, Washing Plates",10 cm,54.70 cm,35.90 cm,36.40 cm,35.90 cm,23 kg,62 cm,51.50 cm,47.50 cm,23.13 kg,,,,RE100,,,,,,,,,,,
eufy S1 Pro HydroJet,993,3.0,4,Robot vacuum,9.60 cm,67 cm,216 min,60 dB,Base station,"Amazon Alexa, Google Assistant",37957778,eufy,Robot vacuum cleaners,T2080G11,8.9.2023,121 of 471,Yes,Black,Black,Robot vacuum,Vacuuming,Base station,8000 Pa,0.25 l,0.24 l,60 dB,,12 mm,,,Compatible,"Amazon Alexa, Google Assistant",,China,,AN100009 T2080G11 S1 Pro Robot Vacuum Hybrid Black,216 min,240 min,,4600 mAh,,,,,9.60 cm,67 cm,,34.70 cm,32.50 cm,8.60 kg,73.50 cm,51.50 cm,43.50 cm,18.38 kg,,,,,,,,,,,,,,,
Roborock Q7 Max,38090,4.5,29,Vacuum mopping robot,9.65 cm,,180 min,67 dB,Laser navigation,"Amazon Alexa, Google Home",20576233,Roborock,Robot vacuum cleaners,Q7M002,20.4.2022,153 of 471,No,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming",Laser navigation,4200 Pa,0.47 l,0.35 l,67 dB,"Carpet, Hard floor, Tiles",,Air filter,300 m²,Compatible,"Amazon Alexa, Google Home",Google Assistant,,,Q7M002,180 min,360 min,Li-ion,5200 mAh,58 Wh,,58 W,"Dust filters, Robot vacuum, Water reservoir, Wiping module",9.65 cm,,35 cm,35 cm,35.30 cm,3.70 kg,44 cm,38.50 cm,14 cm,6 kg,,,,,,,,,,,,,,,
Dreame F9 Pro,139,5.0,1,Vacuum mopping robot,,,150 min,65 dB,,,39263618,Dreame,Robot vacuum cleaners,RLF22GA,12.10.2023,73 of 471,,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",,2500 Pa,0.57 l,0.24 l,65 dB,,,,,Compatible,,,,,F9 Pro,150 min,300 min,Li-ion,3200 mAh,,,,"Charging station, F9 Pro, Instruction manual, Mop pad, Water reservoir",,,,,16.80 cm,3.11 kg,44.60 cm,39.60 cm,14.50 cm,5.25 kg,,,,,,,,,,,,,,,
Roborock S8,65665,4.7,243,Vacuum mopping robot,9.65 cm,,180 min,67 dB,"Camera function, Carpet detection, Obstacle detector, Staircase safe",Google Assistant,24938525,Roborock,Robot vacuum cleaners,R100028,30.5.2023,162 of 471,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Camera function, Carpet detection, Obstacle detector, Staircase safe",6000 Pa,0.40 l,0.30 l,67 dB,"Carpet, Hard floor, Tiles",,EPA filter,300 m²,Compatible,Google Assistant,Amazon Alexa,China,S8,R100028,180 min,360 min,Li-ion,5200 mAh,69 Wh,14.40 V,69 W,"Charging station, Dust filters, Mop top, Power cord, Robot vacuum, Short manual, Wiping module",9.65 cm,,35.30 cm,35 cm,35 cm,4.80 kg,44.50 cm,40 cm,13.80 cm,6.95 kg,,,,,,,,,,,,,,,
Ecovacs Vacuum mopping robot X2 COMBO,778,5.0,2,Vacuum mopping robot,9.50 cm,52.30 cm,210 min,65 dB,"Base station, Programmable room boundary","Amazon Alexa, Google Assistant",42852485,Ecovacs,Robot vacuum cleaners,DEX86,19.3.2024,99 of 471,Yes,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Programmable room boundary",8700 Pa,0.42 l,0.18 l,65 dB,Universal,22 mm,Dust filters,140 m²,Compatible,"Amazon Alexa, Google Assistant",,,,Vacuum mopping robot X2 COMBO,210 min,330 min,Li-ion,6400 mAh,4000 Wh,,45 W,"1 DEEBOT X2 COMBO, 1 OMNI station, 2 wiper attachments",9.50 cm,52.30 cm,,32 cm,35.30 cm,5 kg,63.30 cm,49.20 cm,60.50 cm,26 kg,,,,,,,,,,,,,,,
Samsung Jet Bot AI+ VR9500,829,4.5,40,Robot vacuum,13.65 cm,13.65 cm,90 min,74 dB,"Base station, Camera function, Laser navigation, Obstacle detector, Programmable room boundary",Google Assistant,16001589,Samsung,Robot vacuum cleaners,VR50T95735W/SW,20.7.2021,,No,White,White,Robot vacuum,Vacuuming,"Base station, Camera function, Laser navigation, Obstacle detector, Programmable room boundary",,0.20 l,0.20 l,74 dB,"Carpet, Hard floor",,Fine particulate air filters,,Compatible,Google Assistant,Samsung Smart Things,,,"Sw, VR50T95735W",90 min,240 min,Li-ion,,170 Wh,,170 W,"1 x Robot hoover Samsung Jet Bot AI+ VR9500, 1x 1x docking station, 1x magnetic tape, 1x robot hoover, 2x dust bag, 2x fine dust filter, 2x Pre-Motors Filters",13.65 cm,13.65 cm,32 cm,30.50 cm,32 cm,0 kg,58 cm,45 cm,42 cm,13.70 kg,,,,RE100,,,,,,,,,,,
